Time,Anchor1,Anchor2,Anchor3,Anchor4,Est_X,Est_Y
17:36:43,1.66,1.0,1.85,2.25,1.59,0.81
17:36:44,1.69,1.01,1.85,2.25,1.60,0.81
17:36:44,1.66,1.02,1.89,2.24,1.59,0.80
17:36:44,1.68,1.02,1.83,2.26,1.60,0.80
17:36:44,1.7,1.05,1.83,2.22,1.60,0.81
17:36:44,1.7,1.02,1.79,2.24,1.60,0.81
17:36:44,1.67,1.03,1.81,2.21,1.60,0.81
17:36:45,1.65,1.03,1.79,2.23,1.60,0.81
17:36:45,1.68,1.02,1.83,2.23,1.60,0.81
17:36:45,1.65,0.99,1.83,2.22,1.60,0.81
17:36:45,1.67,1.05,1.81,2.23,1.60,0.81
17:36:45,1.63,1.01,1.84,2.26,1.59,0.81
17:36:45,1.64,1.06,1.85,2.23,1.59,0.80
17:36:46,1.7,0.98,1.83,2.26,1.60,0.80
17:36:46,1.68,1.01,1.85,2.25,1.60,0.80
17:36:46,1.68,1.01,1.86,2.23,1.60,0.81
17:36:46,1.67,1.02,1.83,2.25,1.60,0.80
17:36:46,1.66,0.99,1.84,2.24,1.60,0.80
17:36:47,1.68,0.99,1.83,2.25,1.60,0.80
17:36:47,1.65,1.01,1.86,2.26,1.60,0.80
17:36:47,1.68,1.01,1.84,2.25,1.60,0.80
17:36:47,1.65,1.03,1.83,2.25,1.60,0.80
17:36:47,1.69,1.0,1.85,2.24,1.60,0.80
17:36:47,1.67,1.0,1.84,2.26,1.60,0.80
17:36:47,1.66,1.03,1.83,2.25,1.60,0.80
17:36:48,1.66,1.02,1.85,2.23,1.60,0.80
17:36:48,1.67,1.02,1.82,2.23,1.60,0.80
17:36:48,1.62,1.01,1.83,2.22,1.60,0.80
17:36:48,1.68,1.01,1.83,2.24,1.60,0.80
17:36:48,1.68,1.05,1.82,2.27,1.60,0.80
17:36:48,1.65,1.0,1.85,2.23,1.60,0.80
17:36:49,1.61,1.01,1.86,2.23,1.59,0.80
17:36:49,1.63,0.99,1.84,2.22,1.59,0.80
17:36:49,1.64,1.02,1.84,2.26,1.59,0.79
17:36:49,1.64,1.05,1.83,2.25,1.59,0.79
17:36:49,1.63,1.0,1.82,2.25,1.59,0.79
17:36:50,1.66,1.01,1.84,2.25,1.59,0.79
17:36:50,1.68,0.99,1.84,2.24,1.59,0.79
17:36:50,1.65,1.01,1.85,2.24,1.59,0.79
17:36:50,1.67,1.01,1.87,2.22,1.59,0.79
17:36:50,1.7,1.01,1.84,2.27,1.60,0.79
17:36:50,1.69,1.02,1.85,2.24,1.60,0.80
17:36:51,1.69,0.99,1.84,2.27,1.60,0.80
17:36:51,1.66,1.0,1.83,2.26,1.60,0.79
17:36:51,1.68,1.0,1.85,2.25,1.60,0.80
17:36:51,1.63,1.02,1.84,2.25,1.60,0.79
17:36:51,1.64,1.02,1.82,2.27,1.60,0.79
17:36:51,1.67,0.99,1.81,2.26,1.60,0.79
17:36:52,1.65,1.04,1.85,2.26,1.60,0.79
17:36:52,1.67,1.0,1.87,2.27,1.60,0.78
17:36:52,1.67,1.0,1.83,2.21,1.60,0.79
17:36:52,1.67,1.03,1.83,2.24,1.60,0.79
17:36:52,1.65,1.03,1.84,2.26,1.60,0.79
17:36:52,1.64,1.0,1.88,2.25,1.60,0.79
