Time,Anchor1,Anchor2,Anchor3,Anchor4,Filtered_X,Filtered_Y
22:03:51,2.0,1.6,2.23,1.42,2.12,1.92
22:03:51,1.64,1.84,1.75,1.32,2.02,1.89
22:03:51,1.62,1.8,1.85,1.24,1.94,1.86
22:03:51,1.66,1.92,1.77,1.22,1.86,1.84
22:03:51,1.67,1.53,1.75,1.26,1.82,1.82
22:03:52,1.46,1.65,2.05,1.3,1.77,1.79
22:03:52,1.55,1.71,1.98,1.35,1.72,1.76
22:03:52,1.52,1.81,2.05,1.3,1.67,1.74
22:03:52,1.46,1.68,2.09,1.38,1.63,1.72
22:03:52,1.46,1.59,1.96,1.46,1.61,1.69
22:03:52,1.45,1.62,2.01,1.44,1.58,1.66
22:03:53,1.47,1.56,2.03,1.44,1.56,1.64
22:03:53,1.47,1.63,2.0,1.46,1.54,1.62
22:03:53,1.48,1.64,2.03,1.4,1.53,1.61
22:03:53,1.46,1.62,2.07,1.39,1.51,1.60
22:03:53,1.46,1.66,2.13,1.41,1.50,1.59
22:03:53,1.49,1.72,2.03,1.42,1.48,1.58
22:03:54,1.46,1.68,2.05,1.4,1.47,1.58
22:03:54,1.47,1.63,2.04,1.46,1.46,1.57
22:03:54,1.45,1.65,2.13,1.44,1.45,1.56
22:03:54,1.45,1.65,2.22,1.47,1.45,1.55
22:03:54,1.45,1.64,2.19,1.41,1.44,1.54
22:03:55,1.42,1.62,2.18,1.45,1.44,1.54
22:03:55,1.45,1.61,2.21,1.43,1.43,1.53
22:03:55,1.43,1.63,1.98,1.44,1.43,1.53
22:03:55,1.45,1.61,2.15,1.44,1.43,1.53
22:03:55,1.47,1.51,2.09,1.4,1.43,1.53
22:03:55,1.47,1.6,2.08,1.42,1.43,1.53
22:03:56,1.45,1.61,2.05,1.44,1.43,1.52
22:03:56,1.45,1.55,2.12,1.41,1.43,1.52
22:03:56,1.47,1.6,2.08,1.43,1.43,1.52
22:03:56,1.45,1.64,2.05,1.46,1.43,1.52
22:03:56,1.46,1.64,1.98,1.42,1.43,1.52
22:03:56,1.45,1.61,2.04,1.45,1.43,1.52
22:03:57,1.45,1.55,2.17,1.48,1.43,1.51
22:03:57,1.43,1.56,2.15,1.58,1.43,1.50
22:03:57,1.45,1.43,1.99,1.73,1.44,1.48
22:03:57,1.45,1.4,2.1,1.75,1.45,1.46
